street_id,street_name,house,sub_house,is_available,full_address,latitude,longitude,gis_full_name,provider
67,микрорайон 10-й микрорайон,1,,1,"Алматы г., микрорайон 10-й микрорайон, 1",43.219867,76.868286,"Алматы, 10-й микрорайон, 1",beeline
67,микрорайон 10-й микрорайон,10,,1,"Алматы г., микрорайон 10-й микрорайон, 10",43.175671,76.906625,"Алматы, 10-я улица, 10",beeline
67,микрорайон 10-й микрорайон,11,,1,"Алматы г., микрорайон 10-й микрорайон, 11",43.218385,76.866212,"Алматы, 10-й микрорайон, 11",beeline
67,микрорайон 10-й микрорайон,12,,1,"Алматы г., микрорайон 10-й микрорайон, 12",43.21785,76.865107,"Алматы, 10-й микрорайон, 12",beeline
67,микрорайон 10-й микрорайон,13,,1,"Алматы г., микрорайон 10-й микрорайон, 13",43.216983,76.864479,"Алматы, 10-й микрорайон, 13",beeline
67,микрорайон 10-й микрорайон,14,,1,"Алматы г., микрорайон 10-й микрорайон, 14",43.216049,76.865523,"Алматы, 10-й микрорайон, 14 / улица Берегового, 14",beeline
67,микрорайон 10-й микрорайон,15,,1,"Алматы г., микрорайон 10-й микрорайон, 15",43.216992,76.865452,"Алматы, 10-й микрорайон, 15",beeline
67,микрорайон 10-й микрорайон,15б,,1,"Алматы г., микрорайон 10-й микрорайон, 15б",43.218037,76.866862,"Алматы, 10-й микрорайон, 15Б",beeline
67,микрорайон 10-й микрорайон,16,,1,"Алматы г., микрорайон 10-й микрорайон, 16",43.217802,76.866235,"Алматы, 10-й микрорайон, 16",beeline
67,микрорайон 10-й микрорайон,17,,1,"Алматы г., микрорайон 10-й микрорайон, 17",43.215223,76.866728,"Алматы, 10-й микрорайон, 17",beeline
67,микрорайон 10-й микрорайон,17/1,,1,"Алматы г., микрорайон 10-й микрорайон, 17/1",43.215287,76.867373,"Алматы, 10-й микрорайон, 17/1",beeline
67,микрорайон 10-й микрорайон,17/2,,1,"Алматы г., микрорайон 10-й микрорайон, 17/2",43.215538,76.867721,"Алматы, 10-й микрорайон, 17/2",beeline
67,микрорайон 10-й микрорайон,18,,1,"Алматы г., микрорайон 10-й микрорайон, 18",43.214593,76.867211,"Алматы, 10-й микрорайон, 18",beeline
67,микрорайон 10-й микрорайон,19,,1,"Алматы г., микрорайон 10-й микрорайон, 19",43.215041,76.868169,"Алматы, 10-й микрорайон, 19",beeline
67,микрорайон 10-й микрорайон,2,,1,"Алматы г., микрорайон 10-й микрорайон, 2",43.220208,76.86871,"Алматы, 10-й микрорайон, 2",beeline
67,микрорайон 10-й микрорайон,20,,1,"Алматы г., микрорайон 10-й микрорайон, 20",43.215829,76.869257,"Алматы, 10-й микрорайон, 20",beeline
67,микрорайон 10-й микрорайон,21,,1,"Алматы г., микрорайон 10-й микрорайон, 21",43.215995,76.868604,"Алматы, 10-й микрорайон, 21",beeline
67,микрорайон 10-й микрорайон,22,,1,"Алматы г., микрорайон 10-й микрорайон, 22",43.21585,76.867612,"Алматы, 10-й микрорайон, 22",beeline
67,микрорайон 10-й микрорайон,23,,1,"Алматы г., микрорайон 10-й микрорайон, 23",43.216326,76.86742,"Алматы, 10-й микрорайон, 23",beeline
67,микрорайон 10-й микрорайон,2а,,1,"Алматы г., микрорайон 10-й микрорайон, 2а",43.22054,76.869154,"Алматы, 10-й микрорайон, 2а",beeline
67,микрорайон 10-й микрорайон,3,,1,"Алматы г., микрорайон 10-й микрорайон, 3",43.219527,76.867644,"Алматы, 10-й микрорайон, 3",beeline
67,микрорайон 10-й микрорайон,3а,,1,"Алматы г., микрорайон 10-й микрорайон, 3а",43.220883,76.869611,"Алматы, 10-й микрорайон, 3а",beeline
67,микрорайон 10-й микрорайон,4,,1,"Алматы г., микрорайон 10-й микрорайон, 4",,,,beeline
67,микрорайон 10-й микрорайон,5,,1,"Алматы г., микрорайон 10-й микрорайон, 5",43.219415,76.868411,"Алматы, 10-й микрорайон, 5",beeline
67,микрорайон 10-й микрорайон,6,,1,"Алматы г., микрорайон 10-й микрорайон, 6",43.220085,76.87081,"Алматы, 10-й микрорайон, 6",beeline
67,микрорайон 10-й микрорайон,7,,1,"Алматы г., микрорайон 10-й микрорайон, 7",43.219207,76.871107,"Алматы, 10-й микрорайон, 7",beeline
67,микрорайон 10-й микрорайон,8,,1,"Алматы г., микрорайон 10-й микрорайон, 8",43.218494,76.870153,"Алматы, 10-й микрорайон, 8",beeline
67,микрорайон 10-й микрорайон,8а,,1,"Алматы г., микрорайон 10-й микрорайон, 8а",43.21809,76.869615,"Алматы, 10-й микрорайон, 8а",beeline
67,микрорайон 10-й микрорайон,8в,,1,"Алматы г., микрорайон 10-й микрорайон, 8в",43.21712,76.869565,"Алматы, 10-й микрорайон, 8в",beeline
67,микрорайон 10-й микрорайон,8г,,1,"Алматы г., микрорайон 10-й микрорайон, 8г",43.216579,76.869607,"Алматы, 10-й микрорайон, 8г",beeline
67,микрорайон 10-й микрорайон,9,,1,"Алматы г., микрорайон 10-й микрорайон, 9",43.219035,76.869992,"Алматы, 10-й микрорайон, 9",beeline
67,микрорайон 10-й микрорайон,9а,,1,"Алматы г., микрорайон 10-й микрорайон, 9а",43.219476,76.87058,"Алматы, 10-й микрорайон, 9а",beeline
309,микрорайон 11-й микрорайон,1,,1,"Алматы г., микрорайон 11-й микрорайон, 1",43.221949,76.871769,"Алматы, 11-й микрорайон, 1",beeline
